"RESU_SIGM_NOEU_Vector:0","RESU_SIGM_NOEU_Vector:1","RESU_SIGM_NOEU_Vector:2","RESU_DEPL:0","RESU_DEPL:1","RESU_DEPL:2","RESU_EPSI_NOEU:0","RESU_EPSI_NOEU:1","RESU_EPSI_NOEU:2","RESU_EPSI_NOEU:3","RESU_EPSI_NOEU:4","RESU_EPSI_NOEU:5","RESU_EPSI_NOEU_Vector:0","RESU_EPSI_NOEU_Vector:1","RESU_EPSI_NOEU_Vector:2","RESU_SIEQ_NOEU:0","RESU_SIEQ_NOEU:1","RESU_SIEQ_NOEU:2","RESU_SIEQ_NOEU:3","RESU_SIEQ_NOEU:4","RESU_SIEQ_NOEU:5","RESU_SIEQ_NOEU:6","RESU_SIEQ_NOEU:7","RESU_SIEQ_NOEU:8","RESU_SIEQ_NOEU:9","RESU_SIEQ_NOEU:10","RESU_SIEQ_NOEU:11","RESU_SIEQ_NOEU:12","RESU_SIEQ_NOEU:13","RESU_SIEQ_NOEU:14","RESU_SIEQ_NOEU:15","RESU_SIEQ_NOEU:16","RESU_SIEQ_NOEU_Vector:0","RESU_SIEQ_NOEU_Vector:1","RESU_SIEQ_NOEU_Vector:2","RESU_SIGM_NOEU:0","RESU_SIGM_NOEU:1","RESU_SIGM_NOEU:2","RESU_SIGM_NOEU:3","RESU_SIGM_NOEU:4","RESU_SIGM_NOEU:5","MED_POINT_ID","MED_CELL_ID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.69811e+01,-8.69821e+00,4.34992e+01,-5.42517e-03,3.06873e-20,-1.50079e-19,-1.30578e-04,-7.93031e-05,2.43824e-04,-3.32430e-06,-4.00905e-06,4.67035e-06,-1.30578e-04,-7.93031e-05,2.43824e-04,5.69432e+01,6.07852e+01,-1.72646e+01,-8.43602e+00,4.35206e+01,5.37512e+01,9.03837e-01,1.29994e-01,9.27277e-03,6.84938e-02,8.17134e-01,-1.46348e-02,-1.13212e-02,1.49301e-02,9.99751e-01,1.78199e+01,1.02537e-01,5.69432e+01,6.07852e+01,-1.72646e+01,-1.69811e+01,-8.69821e+00,4.34992e+01,-5.37002e-01,-6.47616e-01,7.54441e-01,0,6939,1,0.00000e+00,1.05000e+02,0.00000e+00,0.00000e+00
-1.71142e+01,-8.46792e+00,4.41935e+01,-5.43147e-03,2.61657e-20,2.09560e-04,-1.32533e-04,-7.90081e-05,2.46991e-04,-2.92611e-06,-3.93602e-06,4.24535e-06,-1.32533e-04,-7.90081e-05,2.46991e-04,5.76061e+01,6.15608e+01,-1.73420e+01,-8.26547e+00,4.42188e+01,5.51542e+01,9.25853e-01,1.04580e-01,1.00388e-02,4.78740e-02,8.59286e-01,-1.31537e-02,-1.17619e-02,1.35232e-02,9.99727e-01,1.86114e+01,1.06474e-01,5.76061e+01,6.15608e+01,-1.73420e+01,-1.71142e+01,-8.46792e+00,4.41935e+01,-4.72680e-01,-6.35818e-01,6.85787e-01,0,6939,1,9.00000e-01,1.05000e+02,0.00000e+00,9.00000e-01
-1.72440e+01,-8.21548e+00,4.49661e+01,-5.43388e-03,2.14080e-20,4.24920e-04,-1.34615e-04,-7.87244e-05,2.50495e-04,-2.56980e-06,-3.89183e-06,3.83643e-06,-1.34615e-04,-7.87244e-05,2.50495e-04,5.83407e+01,6.24182e+01,-1.74220e+01,-8.06743e+00,4.49961e+01,5.65625e+01,9.45889e-01,8.14524e-02,1.07380e-02,2.91017e-02,8.97657e-01,-1.17382e-02,-1.21586e-02,1.21709e-02,9.99700e-01,1.95067e+01,1.10575e-01,5.83407e+01,6.24182e+01,-1.74220e+01,-1.72440e+01,-8.21548e+00,4.49661e+01,-4.15121e-01,-6.28680e-01,6.19731e-01,0,6939,1,1.80000e+00,1.05000e+02,0.00000e+00,1.80000e+00
-1.73704e+01,-7.94090e+00,4.58171e+01,-5.43239e-03,1.64141e-20,6.46079e-04,-1.36825e-04,-7.84519e-05,2.54336e-04,-2.25535e-06,-3.87649e-06,3.44358e-06,-1.36825e-04,-7.84519e-05,2.54336e-04,5.91471e+01,6.33573e+01,-1.75048e+01,-7.84192e+00,4.58525e+01,5.79761e+01,9.63946e-01,6.06099e-02,1.13704e-02,1.21767e-02,9.32245e-01,-1.03884e-02,-1.25113e-02,1.08731e-02,9.99670e-01,2.05058e+01,1.14840e-01,5.91471e+01,6.33573e+01,-1.75048e+01,-1.73704e+01,-7.94090e+00,4.58171e+01,-3.64326e-01,-6.26202e-01,5.56270e-01,0,6939,1,2.70000e+00,1.05000e+02,0.00000e+00,2.70000e+00
-1.74935e+01,-7.64416e+00,4.67464e+01,-5.42700e-03,1.11841e-20,8.73038e-04,-1.39163e-04,-7.81905e-05,2.58513e-04,-1.98278e-06,-3.89000e-06,3.06680e-06,-1.39163e-04,-7.81905e-05,2.58513e-04,6.00253e+01,6.43782e+01,-1.75903e+01,-7.58894e+00,4.67879e+01,5.93951e+01,9.80024e-01,4.20530e-02,1.19360e-02,-2.90090e-03,9.63051e-01,-9.10421e-03,-1.28200e-02,9.62984e-03,9.99636e-01,2.16087e+01,1.19269e-01,6.00253e+01,6.43782e+01,-1.75903e+01,-1.74935e+01,-7.64416e+00,4.67464e+01,-3.20295e-01,-6.28384e-01,4.95406e-01,0,6939,1,3.60000e+00,1.05000e+02,0.00000e+00,3.60000e+00
-1.76133e+01,-7.32528e+00,4.77540e+01,-5.41772e-03,5.71792e-21,1.10580e-03,-1.41628e-04,-7.79404e-05,2.63026e-04,-1.75207e-06,-3.93235e-06,2.70610e-06,-1.41628e-04,-7.79404e-05,2.63026e-04,6.09752e+01,6.54809e+01,-1.76785e+01,-7.30847e+00,4.78024e+01,6.08194e+01,9.94122e-01,2.57815e-02,1.24348e-02,-1.61311e-02,9.90074e-01,-7.88565e-03,-1.30847e-02,8.44108e-03,9.99599e-01,2.28154e+01,1.23863e-01,6.09752e+01,6.54809e+01,-1.76785e+01,-1.76133e+01,-7.32528e+00,4.77540e+01,-2.83027e-01,-6.35226e-01,4.37139e-01,0,6939,1,4.50000e+00,1.05000e+02,0.00000e+00,4.50000e+00
-1.77297e+01,-6.98425e+00,4.88399e+01,-5.40454e-03,1.56138e-23,1.34435e-03,-1.44221e-04,-7.77015e-05,2.67877e-04,-1.56324e-06,-4.00356e-06,2.36147e-06,-1.44221e-04,-7.77015e-05,2.67877e-04,6.19969e+01,6.66654e+01,-1.77694e+01,-7.00052e+00,4.88959e+01,6.22491e+01,1.00624e+00,1.17955e-02,1.28668e-02,-2.75139e-02,1.01331e+00,-6.73272e-03,-1.33054e-02,7.30683e-03,9.99559e-01,2.41260e+01,1.28620e-01,6.19969e+01,6.66654e+01,-1.77694e+01,-1.77297e+01,-6.98425e+00,4.88399e+01,-2.52523e-01,-6.46728e-01,3.81468e-01,0,6939,1,5.40000e+00,1.05000e+02,0.00000e+00,5.40000e+00
-1.78427e+01,-6.62107e+00,5.00042e+01,-5.38747e-03,-5.92283e-21,1.58871e-03,-1.46941e-04,-7.74738e-05,2.73063e-04,-1.41627e-06,-4.10361e-06,2.03291e-06,-1.46941e-04,-7.74738e-05,2.73063e-04,6.30904e+01,6.79316e+01,-1.78631e+01,-6.66510e+00,5.00685e+01,6.36841e+01,1.01638e+00,9.50673e-05,1.32320e-02,-3.70494e-02,1.03277e+00,-5.64543e-03,-1.34821e-02,6.22711e-03,9.99516e-01,2.55404e+01,1.33542e-01,6.30904e+01,6.79316e+01,-1.78631e+01,-1.78427e+01,-6.62107e+00,5.00042e+01,-2.28783e-01,-6.62890e-01,3.28393e-01,0,6939,1,6.30000e+00,1.05000e+02,0.00000e+00,6.30000e+00
-1.79524e+01,-6.23574e+00,5.12467e+01,-5.36650e-03,-1.20974e-20,1.83887e-03,-1.49789e-04,-7.72573e-05,2.78587e-04,-1.31118e-06,-4.23250e-06,1.72043e-06,-1.49789e-04,-7.72573e-05,2.78587e-04,6.42557e+01,6.92796e+01,-1.79594e+01,-6.30219e+00,5.13202e+01,6.51244e+01,1.02454e+00,-9.31990e-03,1.35304e-02,-4.47375e-02,1.04845e+00,-4.62377e-03,-1.36149e-02,5.20190e-03,9.99470e-01,2.70585e+01,1.38628e-01,6.42557e+01,6.92796e+01,-1.79594e+01,-1.79524e+01,-6.23574e+00,5.12467e+01,-2.11806e-01,-6.83712e-01,2.77915e-01,0,6939,1,7.20000e+00,1.05000e+02,0.00000e+00,7.20000e+00
-1.80588e+01,-5.82826e+00,5.25676e+01,-5.34164e-03,-1.85081e-20,2.09483e-03,-1.52765e-04,-7.70519e-05,2.84447e-04,-1.24795e-06,-4.39025e-06,1.42402e-06,-1.52765e-04,-7.70519e-05,2.84447e-04,6.54927e+01,7.07094e+01,-1.80585e+01,-5.91181e+00,5.26509e+01,6.65701e+01,1.03072e+00,-1.64494e-02,1.37620e-02,-5.05782e-02,1.06034e+00,-3.66775e-03,-1.37036e-02,4.23122e-03,9.99420e-01,2.86806e+01,1.43877e-01,6.54927e+01,7.07094e+01,-1.80585e+01,-1.80588e+01,-5.82826e+00,5.25676e+01,-2.01592e-01,-7.09194e-01,2.30034e-01,0,6939,1,8.10000e+00,1.05000e+02,0.00000e+00,8.10000e+00
